# Assembly name:  GRCh38.p14
# Description:    Genome Reference Consortium Human Build 38 patch release 14 (GRCh38.p14)
# Organism name:  Homo sapiens (human)
# Taxid:          9606
# BioProject:     PRJNA31257
# Submitter:      Genome Reference Consortium
# Date:           2022-02-03
# Synonyms:       hg38	
# Assembly type:  haploid-with-alt-loci
# Release type:   patch
# Assembly level: Chromosome
# Genome representation: full
# RefSeq category: Reference Genome
# GenBank assembly accession: GCA_000001405.29
#
## Assembly-Units:
## GenBank Unit Accession	RefSeq Unit Accession	Assembly-Unit name
## GCA_000001305.2		Primary Assembly
## GCA_000005045.27		PATCHES
## GCA_000001315.2		ALT_REF_LOCI_1
## GCA_000001325.2		ALT_REF_LOCI_2
## GCA_000001335.2		ALT_REF_LOCI_3
## GCA_000001345.2		ALT_REF_LOCI_4
## GCA_000001355.2		ALT_REF_LOCI_5
## GCA_000001365.2		ALT_REF_LOCI_6
## GCA_000001375.2		ALT_REF_LOCI_7
## GCA_000510225.1		ALT_REF_LOCI_8
## GCA_000510235.1		ALT_REF_LOCI_9
## GCA_000509915.1		ALT_REF_LOCI_10
## GCA_000509925.1		ALT_REF_LOCI_11
## GCA_000509935.1		ALT_REF_LOCI_12
## GCA_000509945.1		ALT_REF_LOCI_13
## GCA_000509955.1		ALT_REF_LOCI_14
## GCA_000509965.1		ALT_REF_LOCI_15
## GCA_000509975.1		ALT_REF_LOCI_16
## GCA_000509985.1		ALT_REF_LOCI_17
## GCA_000509995.1		ALT_REF_LOCI_18
## GCA_000510005.1		ALT_REF_LOCI_19
## GCA_000510015.1		ALT_REF_LOCI_20
## GCA_000510025.1		ALT_REF_LOCI_21
## GCA_000510035.1		ALT_REF_LOCI_22
## GCA_000510045.1		ALT_REF_LOCI_23
## GCA_000510055.1		ALT_REF_LOCI_24
## GCA_000510065.1		ALT_REF_LOCI_25
## GCA_000510075.1		ALT_REF_LOCI_26
## GCA_000510085.1		ALT_REF_LOCI_27
## GCA_000510095.1		ALT_REF_LOCI_28
## GCA_000510105.1		ALT_REF_LOCI_29
## GCA_000510125.1		ALT_REF_LOCI_30
## GCA_000510135.1		ALT_REF_LOCI_31
## GCA_000510145.1		ALT_REF_LOCI_32
## GCA_000510155.1		ALT_REF_LOCI_33
## GCA_000510165.1		ALT_REF_LOCI_34
## GCA_000510175.1		ALT_REF_LOCI_35
## GCA_000006015.1		non-nuclear
#
# Ordered by chromosome/plasmid; the chromosomes/plasmids are followed by
# unlocalized scaffolds.
# Unplaced scaffolds are listed at the end.
# RefSeq is equal or derived from GenBank object.
#
# Sequence-Name	Sequence-Role	Assigned-Molecule	Assigned-Molecule-Location/Type	GenBank-Accn	Relationship	RefSeq-Accn	Assembly-Unit	Sequence-Length	UCSC-style-name
HG2225_PATCH	fix-patch	20	Chromosome	MU273388.1	<>	na	PATCHES	273725	na
HG410_PATCH	fix-patch	20	Chromosome	MU273389.1	<>	na	PATCHES	355731	na
HG2513_PATCH	fix-patch	21	Chromosome	ML143377.1	<>	na	PATCHES	519485	na
HG2219_PATCH	fix-patch	21	Chromosome	MU273390.1	<>	na	PATCHES	336752	na
HG2265_PATCH	fix-patch	21	Chromosome	MU273391.1	<>	na	PATCHES	1020778	na
HG2521_PATCH	fix-patch	21	Chromosome	MU273392.1	<>	na	PATCHES	189707	na
HG1311_HG2539_PATCH	fix-patch	22	Chromosome	KQ759762.2	<>	na	PATCHES	101040	na
HG1485_PATCH	fix-patch	22	Chromosome	ML143378.1	<>	na	PATCHES	461303	na
HG494_PATCH	fix-patch	22	Chromosome	ML143379.1	<>	na	PATCHES	12295	na
HG2512_PATCH	fix-patch	22	Chromosome	ML143380.1	<>	na	PATCHES	412368	na
HSCHR22_4_CTG1	novel-patch	22	Chromosome	KN196485.1	<>	na	PATCHES	156562	na
HSCHR22_5_CTG1	novel-patch	22	Chromosome	KN196486.1	<>	na	PATCHES	153027	na
HSCHR22_6_CTG1	novel-patch	22	Chromosome	KQ458387.1	<>	na	PATCHES	155930	na
HSCHR22_7_CTG1	novel-patch	22	Chromosome	KQ458388.1	<>	na	PATCHES	174749	na
HSCHR22_8_CTG1	novel-patch	22	Chromosome	KQ759761.1	<>	na	PATCHES	145162	na
HG439_PATCH	fix-patch	X	Chromosome	ML143381.1	<>	na	PATCHES	403128	na
HG1506_PATCH	fix-patch	X	Chromosome	ML143382.1	<>	na	PATCHES	28824	na
HG1507_PATCH	fix-patch	X	Chromosome	ML143383.1	<>	na	PATCHES	68192	na
HG1509_PATCH	fix-patch	X	Chromosome	ML143384.1	<>	na	PATCHES	14678	na
HG1466_PATCH	fix-patch	X	Chromosome	ML143385.1	<>	na	PATCHES	17435	na
HG2527_PATCH	fix-patch	X	Chromosome	MU273393.1	<>	na	PATCHES	68810	na
HG2541_PATCH	fix-patch	X	Chromosome	MU273394.1	<>	na	PATCHES	140567	na
HSCHRX_3_CTG7	novel-patch	X	Chromosome	KV766199.1	<>	na	PATCHES	188004	na
HSCHRX_1_CTG14	novel-patch	X	Chromosome	MU273395.1	<>	na	PATCHES	619716	na
HSCHRX_2_CTG14	novel-patch	X	Chromosome	MU273396.1	<>	na	PATCHES	294119	na
HSCHRX_3_CTG3	novel-patch	X	Chromosome	MU273397.1	<>	na	PATCHES	330493	na
HG2062_PATCH	fix-patch	Y	Chromosome	KN196487.1	<>	na	PATCHES	101150	na
HG1531_PATCH	fix-patch	Y	Chromosome	KZ208923.1	<>	na	PATCHES	48370	na
HG1535_PATCH	fix-patch	Y	Chromosome	KZ208924.1	<>	na	PATCHES	209722	na
HG1532_PATCH	fix-patch	Y	Chromosome	MU273398.1	<>	na	PATCHES	865743	na
HSCHR1_1_CTG31	alt-scaffold	1	Chromosome	GL383518.1	<>	na	ALT_REF_LOCI_1	182439	chr1_GL383518v1_alt
HSCHR1_2_CTG31	alt-scaffold	1	Chromosome	GL383519.1	<>	na	ALT_REF_LOCI_1	110268	chr1_GL383519v1_alt
HSCHR1_3_CTG31	alt-scaffold	1	Chromosome	GL383520.2	<>	na	ALT_REF_LOCI_1	366580	chr1_GL383520v2_alt
HSCHR1_1_CTG32_1	alt-scaffold	1	Chromosome	KI270759.1	<>	na	ALT_REF_LOCI_1	425601	chr1_KI270759v1_alt
HSCHR1_1_CTG11	alt-scaffold	1	Chromosome	KI270760.1	<>	na	ALT_REF_LOCI_1	109528	chr1_KI270760v1_alt
HSCHR1_2_CTG32_1	alt-scaffold	1	Chromosome	KI270761.1	<>	na	ALT_REF_LOCI_1	165834	chr1_KI270761v1_alt
HSCHR1_1_CTG3	alt-scaffold	1	Chromosome	KI270762.1	<>	na	ALT_REF_LOCI_1	354444	chr1_KI270762v1_alt
HSCHR1_3_CTG32_1	alt-scaffold	1	Chromosome	KI270763.1	<>	na	ALT_REF_LOCI_1	911658	chr1_KI270763v1_alt
HSCHR1_4_CTG32_1	alt-scaffold	1	Chromosome	KI270764.1	<>	na	ALT_REF_LOCI_1	50258	chr1_KI270764v1_alt
HSCHR1_4_CTG31	alt-scaffold	1	Chromosome	KI270765.1	<>	na	ALT_REF_LOCI_1	185285	chr1_KI270765v1_alt
HSCHR1_2_CTG3	alt-scaffold	1	Chromosome	KI270766.1	<>	na	ALT_REF_LOCI_1	256271	chr1_KI270766v1_alt
HSCHR2_1_CTG5	alt-scaffold	2	Chromosome	GL383521.1	<>	na	ALT_REF_LOCI_1	143390	chr2_GL383521v1_alt
HSCHR2_1_CTG7_2	alt-scaffold	2	Chromosome	GL383522.1	<>	na	ALT_REF_LOCI_1	123821	chr2_GL383522v1_alt
HSCHR2_2_CTG7_2	alt-scaffold	2	Chromosome	GL582966.2	<>	na	ALT_REF_LOCI_1	96131	chr2_GL582966v2_alt
HSCHR2_1_CTG15	alt-scaffold	2	Chromosome	KI270767.1	<>	na	ALT_REF_LOCI_1	161578	chr2_KI270767v1_alt
HSCHR2_3_CTG7_2	alt-scaffold	2	Chromosome	KI270768.1	<>	na	ALT_REF_LOCI_1	110099	chr2_KI270768v1_alt
HSCHR2_1_CTG1	alt-scaffold	2	Chromosome	KI270769.1	<>	na	ALT_REF_LOCI_1	120616	chr2_KI270769v1_alt
HSCHR2_2_CTG1	alt-scaffold	2	Chromosome	KI270770.1	<>	na	ALT_REF_LOCI_1	136240	chr2_KI270770v1_alt
HSCHR2_4_CTG7_2	alt-scaffold	2	Chromosome	KI270771.1	<>	na	ALT_REF_LOCI_1	110395	chr2_KI270771v1_alt
HSCHR2_1_CTG7	alt-scaffold	2	Chromosome	KI270772.1	<>	na	ALT_REF_LOCI_1	133041	chr2_KI270772v1_alt
HSCHR2_3_CTG1	alt-scaffold	2	Chromosome	KI270773.1	<>	na	ALT_REF_LOCI_1	70887	chr2_KI270773v1_alt
HSCHR2_4_CTG1	alt-scaffold	2	Chromosome	KI270774.1	<>	na	ALT_REF_LOCI_1	223625	chr2_KI270774v1_alt
HSCHR2_5_CTG7_2	alt-scaffold	2	Chromosome	KI270775.1	<>	na	ALT_REF_LOCI_1	138019	chr2_KI270775v1_alt
HSCHR2_3_CTG15	alt-scaffold	2	Chromosome	KI270776.1	<>	na	ALT_REF_LOCI_1	174166	chr2_KI270776v1_alt
HSCHR3_1_CTG2_1	alt-scaffold	3	Chromosome	GL383526.1	<>	na	ALT_REF_LOCI_1	180671	chr3_GL383526v1_alt
HSCHR3_1_CTG1	alt-scaffold	3	Chromosome	JH636055.2	<>	na	ALT_REF_LOCI_1	173151	chr3_JH636055v2_alt
HSCHR3_2_CTG2_1	alt-scaffold	3	Chromosome	KI270777.1	<>	na	ALT_REF_LOCI_1	173649	chr3_KI270777v1_alt
HSCHR3_3_CTG2_1	alt-scaffold	3	Chromosome	KI270778.1	<>	na	ALT_REF_LOCI_1	248252	chr3_KI270778v1_alt
HSCHR3_1_CTG3	alt-scaffold	3	Chromosome	KI270779.1	<>	na	ALT_REF_LOCI_1	205312	chr3_KI270779v1_alt
HSCHR3_4_CTG2_1	alt-scaffold	3	Chromosome	KI270780.1	<>	na	ALT_REF_LOCI_1	224108	chr3_KI270780v1_alt
HSCHR3_5_CTG2_1	alt-scaffold	3	Chromosome	KI270781.1	<>	na	ALT_REF_LOCI_1	113034	chr3_KI270781v1_alt
HSCHR3_2_CTG3	alt-scaffold	3	Chromosome	KI270782.1	<>	na	ALT_REF_LOCI_1	162429	chr3_KI270782v1_alt
HSCHR3_3_CTG1	alt-scaffold	3	Chromosome	KI270783.1	<>	na	ALT_REF_LOCI_1	109187	chr3_KI270783v1_alt
HSCHR3_9_CTG3	alt-scaffold	3	Chromosome	KI270784.1	<>	na	ALT_REF_LOCI_1	184404	chr3_KI270784v1_alt
HSCHR4_1_CTG9	alt-scaffold	4	Chromosome	GL000257.2	<>	na	ALT_REF_LOCI_1	586476	chr4_GL000257v2_alt
HSCHR4_1_CTG12	alt-scaffold	4	Chromosome	GL383527.1	<>	na	ALT_REF_LOCI_1	164536	chr4_GL383527v1_alt
HSCHR4_1_CTG6	alt-scaffold	4	Chromosome	GL383528.1	<>	na	ALT_REF_LOCI_1	376187	chr4_GL383528v1_alt
HSCHR4_2_CTG12	alt-scaffold	4	Chromosome	KI270785.1	<>	na	ALT_REF_LOCI_1	119912	chr4_KI270785v1_alt
HSCHR4_3_CTG12	alt-scaffold	4	Chromosome	KI270786.1	<>	na	ALT_REF_LOCI_1	244096	chr4_KI270786v1_alt
HSCHR4_1_CTG8_1	alt-scaffold	4	Chromosome	KI270787.1	<>	na	ALT_REF_LOCI_1	111943	chr4_KI270787v1_alt
HSCHR4_4_CTG12	alt-scaffold	4	Chromosome	KI270788.1	<>	na	ALT_REF_LOCI_1	158965	chr4_KI270788v1_alt
HSCHR4_5_CTG12	alt-scaffold	4	Chromosome	KI270789.1	<>	na	ALT_REF_LOCI_1	205944	chr4_KI270789v1_alt
HSCHR4_1_CTG4	alt-scaffold	4	Chromosome	KI270790.1	<>	na	ALT_REF_LOCI_1	220246	chr4_KI270790v1_alt
HSCHR5_2_CTG1_1	alt-scaffold	5	Chromosome	GL339449.2	<>	na	ALT_REF_LOCI_1	1612928	chr5_GL339449v2_alt
HSCHR5_3_CTG1_1	alt-scaffold	5	Chromosome	GL383530.1	<>	na	ALT_REF_LOCI_1	101241	chr5_GL383530v1_alt
HSCHR5_1_CTG5	alt-scaffold	5	Chromosome	GL383531.1	<>	na	ALT_REF_LOCI_1	173459	chr5_GL383531v1_alt
HSCHR5_1_CTG1	alt-scaffold	5	Chromosome	GL383532.1	<>	na	ALT_REF_LOCI_1	82728	chr5_GL383532v1_alt
HSCHR5_2_CTG1	alt-scaffold	5	Chromosome	GL949742.1	<>	na	ALT_REF_LOCI_1	226852	chr5_GL949742v1_alt
HSCHR5_3_CTG1	alt-scaffold	5	Chromosome	KI270791.1	<>	na	ALT_REF_LOCI_1	195710	chr5_KI270791v1_alt
HSCHR5_4_CTG1	alt-scaffold	5	Chromosome	KI270792.1	<>	na	ALT_REF_LOCI_1	179043	chr5_KI270792v1_alt
HSCHR5_5_CTG1	alt-scaffold	5	Chromosome	KI270793.1	<>	na	ALT_REF_LOCI_1	126136	chr5_KI270793v1_alt
HSCHR5_6_CTG1	alt-scaffold	5	Chromosome	KI270794.1	<>	na	ALT_REF_LOCI_1	164558	chr5_KI270794v1_alt
HSCHR5_2_CTG5	alt-scaffold	5	Chromosome	KI270795.1	<>	na	ALT_REF_LOCI_1	131892	chr5_KI270795v1_alt
HSCHR5_4_CTG1_1	alt-scaffold	5	Chromosome	KI270796.1	<>	na	ALT_REF_LOCI_1	172708	chr5_KI270796v1_alt
HSCHR6_MHC_APD_CTG1	alt-scaffold	6	Chromosome	GL000250.2	<>	na	ALT_REF_LOCI_1	4672374	chr6_GL000250v2_alt
HSCHR6_1_CTG2	alt-scaffold	6	Chromosome	GL383533.1	<>	na	ALT_REF_LOCI_1	124736	chr6_GL383533v1_alt
HSCHR6_1_CTG3	alt-scaffold	6	Chromosome	KB021644.2	<>	na	ALT_REF_LOCI_1	185823	chr6_KB021644v2_alt
HSCHR6_1_CTG4	alt-scaffold	6	Chromosome	KI270797.1	<>	na	ALT_REF_LOCI_1	197536	chr6_KI270797v1_alt
HSCHR6_1_CTG5	alt-scaffold	6	Chromosome	KI270798.1	<>	na	ALT_REF_LOCI_1	271782	chr6_KI270798v1_alt
HSCHR6_1_CTG6	alt-scaffold	6	Chromosome	KI270799.1	<>	na	ALT_REF_LOCI_1	152148	chr6_KI270799v1_alt
HSCHR6_1_CTG7	alt-scaffold	6	Chromosome	KI270800.1	<>	na	ALT_REF_LOCI_1	175808	chr6_KI270800v1_alt
HSCHR6_1_CTG8	alt-scaffold	6	Chromosome	KI270801.1	<>	na	ALT_REF_LOCI_1	870480	chr6_KI270801v1_alt
HSCHR6_1_CTG9	alt-scaffold	6	Chromosome	KI270802.1	<>	na	ALT_REF_LOCI_1	75005	chr6_KI270802v1_alt
HSCHR7_1_CTG6	alt-scaffold	7	Chromosome	GL383534.2	<>	na	ALT_REF_LOCI_1	119183	chr7_GL383534v2_alt
HSCHR7_2_CTG6	alt-scaffold	7	Chromosome	KI270803.1	<>	na	ALT_REF_LOCI_1	1111570	chr7_KI270803v1_alt
HSCHR7_1_CTG1	alt-scaffold	7	Chromosome	KI270804.1	<>	na	ALT_REF_LOCI_1	157952	chr7_KI270804v1_alt
HSCHR7_1_CTG7	alt-scaffold	7	Chromosome	KI270805.1	<>	na	ALT_REF_LOCI_1	209988	chr7_KI270805v1_alt
HSCHR7_1_CTG4_4	alt-scaffold	7	Chromosome	KI270806.1	<>	na	ALT_REF_LOCI_1	158166	chr7_KI270806v1_alt
HSCHR7_2_CTG7	alt-scaffold	7	Chromosome	KI270807.1	<>	na	ALT_REF_LOCI_1	126434	chr7_KI270807v1_alt
HSCHR7_3_CTG6	alt-scaffold	7	Chromosome	KI270808.1	<>	na	ALT_REF_LOCI_1	271455	chr7_KI270808v1_alt
HSCHR7_2_CTG4_4	alt-scaffold	7	Chromosome	KI270809.1	<>	na	ALT_REF_LOCI_1	209586	chr7_KI270809v1_alt
HSCHR8_1_CTG7	alt-scaffold	8	Chromosome	KI270810.1	<>	na	ALT_REF_LOCI_1	374415	chr8_KI270810v1_alt
HSCHR8_1_CTG1	alt-scaffold	8	Chromosome	KI270811.1	<>	na	ALT_REF_LOCI_1	292436	chr8_KI270811v1_alt
HSCHR8_2_CTG1	alt-scaffold	8	Chromosome	KI270812.1	<>	na	ALT_REF_LOCI_1	282736	chr8_KI270812v1_alt
HSCHR8_3_CTG1	alt-scaffold	8	Chromosome	KI270813.1	<>	na	ALT_REF_LOCI_1	300230	chr8_KI270813v1_alt
HSCHR8_1_CTG6	alt-scaffold	8	Chromosome	KI270814.1	<>	na	ALT_REF_LOCI_1	141812	chr8_KI270814v1_alt
HSCHR8_2_CTG7	alt-scaffold	8	Chromosome	KI270815.1	<>	na	ALT_REF_LOCI_1	132244	chr8_KI270815v1_alt
HSCHR8_3_CTG7	alt-scaffold	8	Chromosome	KI270816.1	<>	na	ALT_REF_LOCI_1	305841	chr8_KI270816v1_alt
HSCHR8_4_CTG7	alt-scaffold	8	Chromosome	KI270817.1	<>	na	ALT_REF_LOCI_1	158983	chr8_KI270817v1_alt
HSCHR8_4_CTG1	alt-scaffold	8	Chromosome	KI270818.1	<>	na	ALT_REF_LOCI_1	145606	chr8_KI270818v1_alt
HSCHR8_5_CTG7	alt-scaffold	8	Chromosome	KI270819.1	<>	na	ALT_REF_LOCI_1	133535	chr8_KI270819v1_alt
HSCHR8_6_CTG7	alt-scaffold	8	Chromosome	KI270820.1	<>	na	ALT_REF_LOCI_1	36640	chr8_KI270820v1_alt
HSCHR8_8_CTG1	alt-scaffold	8	Chromosome	KI270821.1	<>	na	ALT_REF_LOCI_1	985506	chr8_KI270821v1_alt
HSCHR8_9_CTG1	alt-scaffold	8	Chromosome	KI270822.1	<>	na	ALT_REF_LOCI_1	624492	chr8_KI270822v1_alt
HSCHR9_1_CTG1	alt-scaffold	9	Chromosome	GL383539.1	<>	na	ALT_REF_LOCI_1	162988	chr9_GL383539v1_alt
HSCHR9_1_CTG2	alt-scaffold	9	Chromosome	GL383540.1	<>	na	ALT_REF_LOCI_1	71551	chr9_GL383540v1_alt
HSCHR9_1_CTG3	alt-scaffold	9	Chromosome	GL383541.1	<>	na	ALT_REF_LOCI_1	171286	chr9_GL383541v1_alt
HSCHR9_1_CTG4	alt-scaffold	9	Chromosome	GL383542.1	<>	na	ALT_REF_LOCI_1	60032	chr9_GL383542v1_alt
HSCHR9_1_CTG5	alt-scaffold	9	Chromosome	KI270823.1	<>	na	ALT_REF_LOCI_1	439082	chr9_KI270823v1_alt
HSCHR10_1_CTG1	alt-scaffold	10	Chromosome	GL383545.1	<>	na	ALT_REF_LOCI_1	179254	chr10_GL383545v1_alt
HSCHR10_1_CTG2	alt-scaffold	10	Chromosome	GL383546.1	<>	na	ALT_REF_LOCI_1	309802	chr10_GL383546v1_alt
HSCHR10_1_CTG3	alt-scaffold	10	Chromosome	KI270824.1	<>	na	ALT_REF_LOCI_1	181496	chr10_KI270824v1_alt
HSCHR10_1_CTG4	alt-scaffold	10	Chromosome	KI270825.1	<>	na	ALT_REF_LOCI_1	188315	chr10_KI270825v1_alt
HSCHR11_1_CTG1_1	alt-scaffold	11	Chromosome	GL383547.1	<>	na	ALT_REF_LOCI_1	154407	chr11_GL383547v1_alt
HG142_HG150_NOVEL_TEST	alt-scaffold	11	Chromosome	JH159136.1	<>	na	ALT_REF_LOCI_1	200998	chr11_JH159136v1_alt
HG151_NOVEL_TEST	alt-scaffold	11	Chromosome	JH159137.1	<>	na	ALT_REF_LOCI_1	191409	chr11_JH159137v1_alt
HSCHR11_1_CTG2	alt-scaffold	11	Chromosome	KI270826.1	<>	na	ALT_REF_LOCI_1	186169	chr11_KI270826v1_alt
HSCHR11_1_CTG3	alt-scaffold	11	Chromosome	KI270827.1	<>	na	ALT_REF_LOCI_1	67707	chr11_KI270827v1_alt
HSCHR11_1_CTG5	alt-scaffold	11	Chromosome	KI270829.1	<>	na	ALT_REF_LOCI_1	204059	chr11_KI270829v1_alt
HSCHR11_1_CTG6	alt-scaffold	11	Chromosome	KI270830.1	<>	na	ALT_REF_LOCI_1	177092	chr11_KI270830v1_alt
HSCHR11_1_CTG7	alt-scaffold	11	Chromosome	KI270831.1	<>	na	ALT_REF_LOCI_1	296895	chr11_KI270831v1_alt
HSCHR11_1_CTG8	alt-scaffold	11	Chromosome	KI270832.1	<>	na	ALT_REF_LOCI_1	210133	chr11_KI270832v1_alt
HSCHR12_1_CTG2	alt-scaffold	12	Chromosome	GL383549.1	<>	na	ALT_REF_LOCI_1	120804	chr12_GL383549v1_alt
HSCHR12_1_CTG2_1	alt-scaffold	12	Chromosome	GL383550.2	<>	na	ALT_REF_LOCI_1	169178	chr12_GL383550v2_alt
HSCHR12_4_CTG2_1	alt-scaffold	12	Chromosome	GL383551.1	<>	na	ALT_REF_LOCI_1	184319	chr12_GL383551v1_alt
HSCHR12_2_CTG2_1	alt-scaffold	12	Chromosome	GL383552.1	<>	na	ALT_REF_LOCI_1	138655	chr12_GL383552v1_alt
HSCHR12_3_CTG2_1	alt-scaffold	12	Chromosome	GL383553.2	<>	na	ALT_REF_LOCI_1	152874	chr12_GL383553v2_alt
HSCHR12_1_CTG1	alt-scaffold	12	Chromosome	GL877875.1	<>	na	ALT_REF_LOCI_1	167313	chr12_GL877875v1_alt
HSCHR12_2_CTG2	alt-scaffold	12	Chromosome	GL877876.1	<>	na	ALT_REF_LOCI_1	408271	chr12_GL877876v1_alt
HSCHR12_5_CTG2_1	alt-scaffold	12	Chromosome	KI270833.1	<>	na	ALT_REF_LOCI_1	76061	chr12_KI270833v1_alt
HSCHR12_6_CTG2_1	alt-scaffold	12	Chromosome	KI270834.1	<>	na	ALT_REF_LOCI_1	119498	chr12_KI270834v1_alt
HSCHR12_4_CTG2	alt-scaffold	12	Chromosome	KI270835.1	<>	na	ALT_REF_LOCI_1	238139	chr12_KI270835v1_alt
HSCHR12_7_CTG2_1	alt-scaffold	12	Chromosome	KI270836.1	<>	na	ALT_REF_LOCI_1	56134	chr12_KI270836v1_alt
HSCHR12_5_CTG2	alt-scaffold	12	Chromosome	KI270837.1	<>	na	ALT_REF_LOCI_1	40090	chr12_KI270837v1_alt
HSCHR13_1_CTG1	alt-scaffold	13	Chromosome	KI270838.1	<>	na	ALT_REF_LOCI_1	306913	chr13_KI270838v1_alt
HSCHR13_1_CTG2	alt-scaffold	13	Chromosome	KI270839.1	<>	na	ALT_REF_LOCI_1	180306	chr13_KI270839v1_alt
HSCHR13_1_CTG3	alt-scaffold	13	Chromosome	KI270840.1	<>	na	ALT_REF_LOCI_1	191684	chr13_KI270840v1_alt
HSCHR13_1_CTG4	alt-scaffold	13	Chromosome	KI270841.1	<>	na	ALT_REF_LOCI_1	169134	chr13_KI270841v1_alt
HSCHR13_1_CTG5	alt-scaffold	13	Chromosome	KI270842.1	<>	na	ALT_REF_LOCI_1	37287	chr13_KI270842v1_alt
HSCHR13_1_CTG6	alt-scaffold	13	Chromosome	KI270843.1	<>	na	ALT_REF_LOCI_1	103832	chr13_KI270843v1_alt
HSCHR14_1_CTG1	alt-scaffold	14	Chromosome	KI270844.1	<>	na	ALT_REF_LOCI_1	322166	chr14_KI270844v1_alt
HSCHR14_2_CTG1	alt-scaffold	14	Chromosome	KI270845.1	<>	na	ALT_REF_LOCI_1	180703	chr14_KI270845v1_alt
HSCHR14_3_CTG1	alt-scaffold	14	Chromosome	KI270846.1	<>	na	ALT_REF_LOCI_1	1351393	chr14_KI270846v1_alt
HSCHR14_7_CTG1	alt-scaffold	14	Chromosome	KI270847.1	<>	na	ALT_REF_LOCI_1	1511111	chr14_KI270847v1_alt
HSCHR15_1_CTG8	alt-scaffold	15	Chromosome	GL383554.1	<>	na	ALT_REF_LOCI_1	296527	chr15_GL383554v1_alt
HSCHR15_2_CTG8	alt-scaffold	15	Chromosome	GL383555.2	<>	na	ALT_REF_LOCI_1	388773	chr15_GL383555v2_alt
HSCHR15_1_CTG3	alt-scaffold	15	Chromosome	KI270848.1	<>	na	ALT_REF_LOCI_1	327382	chr15_KI270848v1_alt
HSCHR15_3_CTG8	alt-scaffold	15	Chromosome	KI270849.1	<>	na	ALT_REF_LOCI_1	244917	chr15_KI270849v1_alt
HSCHR15_5_CTG8	alt-scaffold	15	Chromosome	KI270850.1	<>	na	ALT_REF_LOCI_1	430880	chr15_KI270850v1_alt
HSCHR15_3_CTG3	alt-scaffold	15	Chromosome	KI270851.1	<>	na	ALT_REF_LOCI_1	263054	chr15_KI270851v1_alt
HSCHR15_1_CTG1	alt-scaffold	15	Chromosome	KI270852.1	<>	na	ALT_REF_LOCI_1	478999	chr15_KI270852v1_alt
HSCHR16_1_CTG3_1	alt-scaffold	16	Chromosome	GL383556.1	<>	na	ALT_REF_LOCI_1	192462	chr16_GL383556v1_alt
HSCHR16_2_CTG3_1	alt-scaffold	16	Chromosome	GL383557.1	<>	na	ALT_REF_LOCI_1	89672	chr16_GL383557v1_alt
HSCHR16_1_CTG1	alt-scaffold	16	Chromosome	KI270853.1	<>	na	ALT_REF_LOCI_1	2659700	chr16_KI270853v1_alt
HSCHR16_CTG2	alt-scaffold	16	Chromosome	KI270854.1	<>	na	ALT_REF_LOCI_1	134193	chr16_KI270854v1_alt
HSCHR16_3_CTG1	alt-scaffold	16	Chromosome	KI270855.1	<>	na	ALT_REF_LOCI_1	232857	chr16_KI270855v1_alt
HSCHR16_4_CTG1	alt-scaffold	16	Chromosome	KI270856.1	<>	na	ALT_REF_LOCI_1	63982	chr16_KI270856v1_alt
HSCHR17_1_CTG5	alt-scaffold	17	Chromosome	GL000258.2	<>	na	ALT_REF_LOCI_1	1821992	chr17_GL000258v2_alt
HSCHR17_1_CTG1	alt-scaffold	17	Chromosome	GL383563.3	<>	na	ALT_REF_LOCI_1	375691	chr17_GL383563v3_alt
HSCHR17_1_CTG4	alt-scaffold	17	Chromosome	GL383564.2	<>	na	ALT_REF_LOCI_1	133151	chr17_GL383564v2_alt
HSCHR17_2_CTG4	alt-scaffold	17	Chromosome	GL383565.1	<>	na	ALT_REF_LOCI_1	223995	chr17_GL383565v1_alt
HSCHR17_3_CTG4	alt-scaffold	17	Chromosome	GL383566.1	<>	na	ALT_REF_LOCI_1	90219	chr17_GL383566v1_alt
HSCHR17_4_CTG4	alt-scaffold	17	Chromosome	JH159146.1	<>	na	ALT_REF_LOCI_1	278131	chr17_JH159146v1_alt
HSCHR17_5_CTG4	alt-scaffold	17	Chromosome	JH159147.1	<>	na	ALT_REF_LOCI_1	70345	chr17_JH159147v1_alt
HSCHR17_7_CTG4	alt-scaffold	17	Chromosome	KI270857.1	<>	na	ALT_REF_LOCI_1	2877074	chr17_KI270857v1_alt
HSCHR17_8_CTG4	alt-scaffold	17	Chromosome	KI270858.1	<>	na	ALT_REF_LOCI_1	235827	chr17_KI270858v1_alt
HSCHR17_9_CTG4	alt-scaffold	17	Chromosome	KI270859.1	<>	na	ALT_REF_LOCI_1	108763	chr17_KI270859v1_alt
HSCHR17_1_CTG9	alt-scaffold	17	Chromosome	KI270860.1	<>	na	ALT_REF_LOCI_1	178921	chr17_KI270860v1_alt
HSCHR17_1_CTG2	alt-scaffold	17	Chromosome	KI270861.1	<>	na	ALT_REF_LOCI_1	196688	chr17_KI270861v1_alt
HSCHR17_2_CTG2	alt-scaffold	17	Chromosome	KI270862.1	<>	na	ALT_REF_LOCI_1	391357	chr17_KI270862v1_alt
HSCHR18_1_CTG1_1	alt-scaffold	18	Chromosome	GL383567.1	<>	na	ALT_REF_LOCI_1	289831	chr18_GL383567v1_alt
